Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
11,57494,P 1 21/m 1,Al Au,Al,Al,1,13,3,Au,Au,1,11,6,Monoclinic,,
11,104626,P 1 21/m 1,Al Ce3,Al,Al,1,13,3,Ce3,Ce,3,3,6,Monoclinic,,
11,104785,P 1 21/m 1,Li7 Sn3,Li7,Li,7,1,2,Sn3,Sn,3,14,5,Monoclinic,,
11,105201,P 1 21/m 1,Nb Pt3,Nb,Nb,1,5,5,Pt3,Pt,3,10,6,Monoclinic,,
11,105414,P 1 21/m 1,Ni Ti,Ni,Ni,1,10,4,Ti,Ti,1,4,4,Monoclinic,,
11,105804,P 1 21/m 1,Pt3 Ta,Pt3,Pt,3,10,6,Ta,Ta,1,5,6,Monoclinic,,
11,97398,P 1 21/m 1,Rb4 Pb9,Rb4,Rb,4,1,5,Pb9,Pb,9,14,6,Monoclinic,,
11,413519,P 1 21/m 1,Ba1.5 Sb3,Ba1.5,Ba,1.5,2,6,Sb3,Sb,3,15,5,Monoclinic,,
11,30601,P 1 21/m 1,N2 H4,N2,N,2,15,2,H4,H,4,1,1,Monoclinic,,
11,99271,P 1 21/m 1,Ni3 Te2,Ni3,Ni,3,10,4,Te2,Te,2,16,5,Monoclinic,,
11,105394,P 1 21/m 1,Ni Tb,Ni,Ni,1,10,4,Tb,Tb,1,3,6,Monoclinic,,
11,57242,P 1 1 21/m,Dy S1.765,Dy,Dy,1,3,6,S1.765,S,1.765,16,3,Monoclinic,,
11,638958,P 1 21/m 1,Hf Te3,Hf,Hf,1,4,6,Te3,Te,3,16,5,Monoclinic,,
11,640488,P 1 21/m 1,In5.8 Se7,In5.8,In,5.8,13,5,Se7,Se,7,16,4,Monoclinic,,
11,640987,P 1 21/m 1,Ir4 Si5,Ir4,Ir,4,9,6,Si5,Si,5,14,3,Monoclinic,,
11,645316,P 1 21/m 1,Nb S3,Nb,Nb,1,5,5,S3,S,3,16,3,Monoclinic,,
11,646830,P 1 21/m 1,Ni3 Ta,Ni3,Ni,3,10,4,Ta,Ta,1,5,6,Monoclinic,,
11,651310,P 1 21/m 1,U S3,U,U,1,3,7,S3,S,3,16,3,Monoclinic,,
11,652028,P 1 21/m 1,Th Se3,Th,Th,1,3,7,Se3,Se,3,16,4,Monoclinic,,
11,652229,P 1 21/m 1,Zr Se3,Zr,Zr,1,4,5,Se3,Se,3,16,4,Monoclinic,,
