Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
38,51547,A m m 2,Nd Te1.851,Nd,Nd,1,3,6,Te1.851,Te,1.851,16,5,Orthorhombic,,
38,58545,A m m 2,Au3 Mg,Au3,Au,3,11,6,Mg,Mg,1,2,3,Orthorhombic,,
38,58614,A m m 2,Au2 V,Au2,Au,2,11,6,V,V,1,5,4,Orthorhombic,,
38,103093,A m m 2,Cu11 Sb3,Cu11,Cu,11,11,4,Sb3,Sb,3,15,5,Orthorhombic,,
38,103392,A m m 2,Eu3 Ga5,Eu3,Eu,3,3,6,Ga5,Ga,5,13,4,Orthorhombic,,
38,104135,A m m 2,Gd Sn3,Gd,Gd,1,3,6,Sn3,Sn,3,14,5,Orthorhombic,,
38,105968,A m m 2,Rh5 V3,Rh5,Rh,5,9,5,V3,V,3,5,4,Orthorhombic,,
38,54240,A m m 2,Dy S1.765,Dy,Dy,1,3,6,S1.765,S,1.765,16,3,Orthorhombic,,
38,62764,A m m 2,Cu8 O,Cu8,Cu,8,11,4,O,O,1,16,2,Orthorhombic,,
38,602788,A m m 2,Y Sn3,Y,Y,1,3,5,Sn3,Sn,3,14,5,Orthorhombic,,
38,602855,A m m 2,Dy Sn3,Dy,Dy,1,3,6,Sn3,Sn,3,14,5,Orthorhombic,,
38,602856,A m m 2,Ho Sn3,Ho,Ho,1,3,6,Sn3,Sn,3,14,5,Orthorhombic,,
38,602857,A m m 2,Er Sn3,Er,Er,1,3,6,Sn3,Sn,3,14,5,Orthorhombic,,
38,602858,A m m 2,Tm Sn3,Tm,Tm,1,3,6,Sn3,Sn,3,14,5,Orthorhombic,,
38,602880,A m m 2,Tb Sn3,Tb,Tb,1,3,6,Sn3,Sn,3,14,5,Orthorhombic,,
38,652736,A m m 2,Tb4 Sn11,Tb4,Tb,4,3,6,Sn11,Sn,11,14,5,Orthorhombic,,
38,171674,A m m 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Orthorhombic,,
38,154695,A m m 2,Pt29 Zn49,Pt29,Pt,29,10,6,Zn49,Zn,49,12,4,Orthorhombic,,
38,417084,A m m 2,Tb8 Se14.8,Tb8,Tb,8,3,6,Se14.8,Se,14.8,16,4,Orthorhombic,,
38,417082,A m m 2,Dy8 Se14.8,Dy8,Dy,8,3,6,Se14.8,Se,14.8,16,4,Orthorhombic,,
38,417080,A m m 2,Ho8 Se14.6,Ho8,Ho,8,3,6,Se14.6,Se,14.6,16,4,Orthorhombic,,
38,417079,A m m 2,Ho8 Se15,Ho8,Ho,8,3,6,Se15,Se,15,16,4,Orthorhombic,,
38,417078,A m m 2,Er8 Se14.8,Er8,Er,8,3,6,Se14.8,Se,14.8,16,4,Orthorhombic,,
38,417076,A m m 2,Y8 Se14.8,Y8,Y,8,3,5,Se14.8,Se,14.8,16,4,Orthorhombic,,
38,261001,A m m 2,Er3 Si5,Er3,Er,3,3,6,Si5,Si,5,14,3,Orthorhombic,,
39,981,A b m 2,Fe0.856 O,Fe0.856,Fe,0.856,8,4,O,O,1,16,2,Orthorhombic,,
39,67442,C 2 m b,Sn S,Sn,Sn,1,14,5,S,S,1,16,3,Orthorhombic,,
39,68701,C m 2 a,Pb S,Pb,Pb,1,14,6,S,S,1,16,3,Orthorhombic,,
39,69581,C m 2 a,La S,La,La,1,3,6,S,S,1,16,3,Orthorhombic,,
